hetfield	היטפילד
smalley	סמולי
cavalieri	קאבאליירי
bachchan	באצ'אן
viggo	ויגו
szoke	סזוק
bernie	ברני
pulci	פולשי
joseph	ג'וזף
cornwell	קורנויל
muller	מולר
ethiopian	אתיופיאן
talebloo	טאלבלו
madsen	מאדסן
dutton	דאטן
antarctica	אנטארקטיקא
lynn	לין
ferydoon	פריידון
halonen	האלונין
cannes	קאן
cindy	סינדי
gaetano	גאיטאנו
geddes	גידיס
ventimiglia	וינטמיליא
bellini	ביליני
hasekura	האסיקורא
natale	נאטאלי
kumar	קומאר
fredrik	פרידריק
siddig	סידיג
kumai	קומאי
kitts	קיטס
berto	בירטו
colorado	קולוראדו
arturo	ארטורו
herbin	הרבן
seki	סקי
grisham	גרישאם
giovanna	ג'ובאנא
blunt	בלאנט
tokimune	טוקימונה
minobe	מיינוב
cantor	קאנטור
matthias	מאטיאס
larsson	לארסון
randall	ראנדאל
peary	פירי
barazite	באראזאיט
parmenides	פארמנידס
poseidon	פוסידון
satu	סאטו
gamarra	גאמארא
bergman	ברגמאן
ryutaro	ריוטארו
chenene	צ'נן
shevchenko	שבצ'נקו
sanetomi	סאנטומי
zaghloul	זגלול
pedros	פידרוס
hara	הארא
uzbekistan	אוזבקיסטאן
arief	עריף
nara	נארא
laigle	לייגל
oumar	עומר
ariel	אריאל
nisanit	ניסנית
connie	קוני
kuranyi	קוראני
bakri	בקרי
nicolas	ניקולאס
fellini	פיליני
milito	מיליטו
brede	ברידי
maastricht	מאסטריכט
miloud	מילוד
eelam	אילאם
michael	מאיקל
kalashnikov	קלאשניקוב
mpumalanga	מפומאלאנגא
rubio	רוביו
latina	לאטינא
kedumim	קדומים
law	לו
bridges	ברידג'ז
shamsul	שמסול
asad	אסד
nissim	נסים
putin	פוטין
dionysus	דיוניסוס
ovadia	עובדיה
pallister	פאליסטר
keitel	קאיטל
tikopia	טיקופיא
ifil	איפיל
grier	גריר
friedmann	פרידמאן
norfolk	נורפולק
dotchev	דוצ'ב
ľubomir	לובומיר
lafuente	לאפוינטי
staudinger	שטאודינגר
simeon	סימיאן
mexico	מקסיקו
najah	נג'אח
huygens	הוגינס
dagher	דאגר
burgess	בורגיס
bartlett	בארטלט
ardabil	ארדביל
anatoly	אנאטולי
terasoma	טיראסומא
adolf	אדולף
magda	מאגדה
donatello	דונאטילו
masaryk	מאזאריק
saari	סערי
faulk	פולק
morales	מוראליס
chamran	צ'מראן
bernadotte	ברנאדוט
schacht	שאכט
swaile	סוייל
swank	סואנק
ronen	רונן
matteo	מאטאו
cassin	קאסין
doom	דום
canizares	קאניזאריס
zetlitz	זיטליץ
staunton	סטונטון
yvonne	ייבון
australopithecus	אוסטראלופיתקס
kobushi	קובושי
roshan	רושאן
riccardo	ריקארדו
